,Toode,Hind
5876,"Allikavesi, NOVELLE, 500 ml","0,69 € 1,38 €/l "
5877,"Somersby Spritz, 330 ml","1,29 € 3,91 €/l "
5878,Torres Ibericos Crianza Rioja 75 cl,"9,99 € 13,32 €/l "
5879,Ballantine's Finest Scotch 50 cl,"1,99 €  53,07 €/kg "
5880,"Mandariinimahl värsketest mandariinidest pressitud 100%, DON SIMON, 1 L","16,99 €  33,98 €/l "
5881,"Bubbles Lemon, VICHY FRESH, 1,5 L","2,69 €  2,69 €/l "
5882,"Karastusjook Melon-Mint, AQUA LINE, 500 ml","1,09 € 0,73 €/l "
5883,"Tarhun Vaarikas, AQUA LINE, 500 ml","1,19 € 2,38 €/l "
5884,"Virsiku-viinamarjamahl 100%, DON SIMON, 1 L","1,19 € 2,38 €/l "
5885,"Gaseeritud Sidruni-laimi energiavesi, BELIEF, 530 ml","1,89 €  49,74 €/kg "
5886,"Õuna-valge viinamarja mahlajook, PÕLTSAMAA, 2 L","2,29 €  13,47 €/kg "
5887,"Saku Antvärk Cherry Brw, , 440 ml","1,79 €  0,90 €/l "
5888,"A. Le Coq Baltic Porter, , 75 cl","1,59 € 3,61 €/l "
5889,"Kombucha roheline tee sidruniga, CIVU, 400 ml","3,49 € 4,65 €/l "
5890,"Viin Delikat, NEMIROFF, 50 cl","1,99 € 4,98 €/l "
5891,Hele õlu Paulaner Hefe Weisbier 500 ml pudel,"9,99 € 19,98 €/l "
5892,"Tume õlu Tõmmu Hiid, 500 ml pudel","2,99 €  7,48 €/kg "
5893,"Granaatõunajook, AURA, 1 L","2,39 € 4,78 €/l "
5894,Captain Morgan Spiced 70 cl,"1,39 € 2,78 €/l "
5895,"Vaarika kõrrejook, LIMPA, 250 ml","1,09 €  1,09 €/l "
5896,"A.Le Coq Coctail Cuba Libre, 330 ml pudel","12,99 € 18,56 €/l "
5897,"Punase apelsinijook, PFANNER, 2 L","20,90 € 29,86 €/l "
5898,Barton & Guestier Rose D`Anjou 75 cl,"1,29 € 3,91 €/l "
5899,"Virsikunektar, AURA, 1 L","2,99 €  1,50 €/l "
5900,Gran Castillo Cabernet Sauvignon 75 cl,"3,59 €  11,81 €/kg "
5901,Absolut Vodka 50 cl,"9,99 € 13,32 €/l "
5902,"Saku Karl Friedrich Dunkel, 568 ml","1,19 €  1,19 €/l "
5903,Bombay Sapphire Dry Gin 70 cl,"5,99 € 7,99 €/l "
5904,"Looduslik mineraalvesi mullidega, HÄÄDEMEESTE, 1 L","7,99 € 10,65 €/l "
5905,Penasol Blanco 1 L,"6,99 €  13,98 €/kg "
5906,"Somersby Apple, 500 ml","14,49 €  28,98 €/l "
5907,"Mahlajook pirni-õuna, AURA FRESH, 2 L","1,49 € 2,62 €/l "
5908,Tommasi Le Rosse Pinot Grigio 75 cl,"17,99 € 25,70 €/l "
5909,"Sidrunimaitseline joogivesi, SAAREMAA, 1,5 l","0,79 € 0,79 €/l "
5910,"Tume õlu Guinness Original, 330 ml pudel","4,99 €  4,99 €/l "
5911,Gordon`s London Dry Gin 70 cl,"1,69 € 3,38 €/l "
5912,Le Grand Noir Cabernet Shiraz 3 L,"1,69 €  0,85 €/l "
5913,"Vitamiinijook Celebrate, VITAMIN WELL, 500 ml","10,99 € 14,65 €/l "
5914,"Proteiinijook Toffee, ARCTIC SPORT, 330 ml","13,99 € 18,65 €/l "
5915,"Kannujook Viinamarja-ploomi, PÕLTSAMAA, 1 L","1,89 €  58,15 €/kg "
5916,"Karastusjook Elderflower, FENTIMANS, 275 ml","0,59 € 0,39 €/l "
5917,"Fizz Original Dry, 330 ml","1,69 € 5,12 €/l "
5918,Franz Hoffner Weisswein 75 cl,"13,99 € 19,99 €/l "
5919,"Mandariininektar, AURA, 1 L","19,99 € 28,56 €/l "
5920,"Toonik Ginger Beer, FENTIMANS, 275 ml","1,89 € 3,78 €/l "
5921,Pasqua Pinot Grigio 75 cl,"1,49 €  4,52 €/l "
5922,Piqueras Syrah-Monastrell BIB 3 L,"2,59 €  2,59 €/l "
5923,"Siirup Roosa Rabarber, AURA, 750 ml","1,89 € 6,87 €/l "
5924,"Gaseerimata vesi, VITTEL, 500 ml","4,99 € 6,65 €/l "
5925,"Karastusjook Rose Lemonade, FENTIMANS, 500 ml","6,99 € 9,32 €/l "
5926,"Mustikamaitseline jook, AURA FRUIT, 500 ml","1,39 €  1,39 €/l "
5927,"Tomatimahl vürtsikas, BIG TOM, 250 ml","1,99 €  39,80 €/kg "
5928,"Viin Katyusha, LIVIKO, 50 cl","1,99 € 7,24 €/l "
5929,"Ginger Joe Stone's Mittealkohoolne Õlu, GINGER JOE, 330 ml","5,99 € 7,99 €/l "
5930,"Proteiinijook maasikamaitseline, ARCTIC, 330 ml","7,99 € 10,65 €/l "
5931,Kendermanns Riesling Kabinett 75 cl,"19,99 € 6,66 €/l "
5932,Beefeater London Dry Gin 50 cl,"1,69 €  2,25 €/l "
5933,La Gioiosa Valdobbiadene Prosecco Superiore DOCG Extra Dry 75 cl,"1,79 € 5,42 €/l "
5934,Johann Brunner Gewürztraminer Prestige 75 cl,"0,89 € 1,78 €/l "
5935,"X-otic Fruit, STARTER, 500 ml","3,29 € 6,58 €/l "
5936,Ricossa Gavi DOCG 75 cl,"0,59 € 1,18 €/l "
5937,Bacardi Oakheart Spiced 1 L,"1,99 € 7,96 €/l "
5938,"Muskaat-viinamarjamahl 100%, DON SIMON, 1 L","5,89 €  11,78 €/l "
5939,"Koolajook, FRITZ-KOLA, 330 ml","1,59 €  4,82 €/l "
5940,"Toonik, FENTIMANS, 200 ml","8,99 € 11,99 €/l "
5941,"Energiajook, XL, 250 ml","14,99 €  29,98 €/l "
5942,"Laua viin, LIVIKO, 20 cl","10,99 € 14,65 €/l "
5943,"Mustasõstranektar, LARGO, 1 L","5,99 € 7,99 €/l "
5944,"Vaarika-mustika mitmeviljanektar, PÕLTSAMAA, 1 L","7,99 € 10,65 €/l "
5945,"Virsiku-mangonektar, PÕLTSAMAA, 1 L","0,99 € 1,98 €/l "
5946,"Saku Dublin, SAKU, 500 ml","13,99 € 18,65 €/l "
5947,Le Grand Noir Sauvignon Blanc 2010 75 cl,"17,99 € 17,99 €/l "
5948,Marani Kindzmarauli 75 cl,"25,90 € 25,90 €/l "
5949,"Karastusjook Sprite kalorivaba, SPRITE, 500 ml","5,99 €  0,37 €/tk "
5950,Nerone Negroamaro Primitivo 75 cl,"1,99 € 6,03 €/l "
5951,Zonin Pinot Grigio 75 cl,"1,59 € 3,18 €/l "
5952,"Peojook Limpa Mullike, LIMPA, 750 ml","2,49 € 3,32 €/l "
5953,"Karastusjook Jaffa, HARTWALL, 500 ml","0,79 € 1,58 €/l "
5954,"Proteiinijook banaani-šokolaadimaitseline, ARCTIC, 330 ml","1,59 €  4,82 €/l "
5955,"Karastusjook Sprite, SPRITE, 1,5 L","1,49 € 0,99 €/l "
5956,Vana Tallinn 50 cl pet,"8,99 € 17,98 €/l "
5957,Santa Carolina Cellar Chardonnay 75 cl,"11,99 € 23,98 €/l "
5958,Maschio Prosecco Frizzante 75 cl,"7,99 € 10,65 €/l "
5959,"G:n Long Drink Mohhito, 1,5 L pet","6,99 € 9,32 €/l "
5960,"A.Le Coq Coctail Mojito, 330 ml pudel","6,99 € 9,32 €/l "
5961,"Tomatimahl, CAPPY, 1 L","8,99 € 11,99 €/l "
5962,Murviedro Reserva 75 cl,"3,79 € 2,53 €/l "
5963,Blue Nun Original 75 cl,"1,49 € 1,49 €/l "
5964,"Siider Kopparberg maasika-laimi, 500 ml purk","7,99 €  10,65 €/l "
5965,Pulpo Sauvignon Blanc 75 cl,"1,99 €  71,07 €/kg "
5966,"Multivitamiini nektar, CAPPY, 1 L","4,99 € 6,65 €/l "
5967,Aperol Aperatiiv 70 cl,"2,29 € 4,58 €/l "
5968,Fantini Farnese Primitivo Puglia I.G.P. 75 cl,"7,99 € 10,65 €/l "
5969,Dreamer Late Harvest Sweet Red tetra 1 L,"9,99 € 13,32 €/l "
5970,Santa Ana Caracter Chenin Chardonnay 75 cl,"1,89 € 1,89 €/l "
5971,"Mustika kõrrejook, LIMPA, 250 ml","12,99 € 18,56 €/l "
5972,"Siider Bouche Brut De Normandie, 750 ml pudel","16,99 € 24,27 €/l "
5973,Jaume Serra Castelfino Brut 75 cl,"7,49 € 9,99 €/l "
5974,"Marjajook, PÕLTSAMAA, 1 L","7,99 € 10,65 €/l "
5975,"Multivitamiininektar, LARGO, 1 L","4,99 € 4,99 €/l "
5976,"Mahlajoogikontsentraat jõhvika, KÜLLUS, 330 ml","6,99 € 6,99 €/l "
5977,Johan Freitag Gin 50 cl,"6,99 € 9,32 €/l "
5978,"Strawberry, VICHY FRESH, 1,5 L","0,19 €  13,57 €/kg "
5979,"Siider Kopparberg metsamarja, 500 ml purk","0,39 €  1,56 €/l "
5980,Zonin Prosecco Cuvee 20 cl,"4,79 € 6,39 €/l "
5981,Castellani Pinot Grigio 75 cl,"5,99 € 7,99 €/l "
5982,"Mustsõstra kontsentreeritud mahlajook, KÜLLUS, 330 ml","1,19 €  1,19 €/l "
5983,S.A.Caracter Bonarda Cabernet Sauvignon 75 cl,"1,19 €  1,19 €/l "
5984,"Õlu Uus Maailm, PÕHJALA, 330 ml","4,99 € 15,12 €/l "
5985,Casa Lunardi Soave 75 cl,"9,99 € 19,98 €/l "
5986,"Saku Antvärk Cherry Brew, SAKU ANTVÄRK, 330 ml","1,09 € 0,73 €/l "
5987,"Virsiku tee Zero, OSHEE, 555 ml","2,29 € 4,58 €/l "
5988,J.Walker Red Label 70 cl,"2,99 € 14,95 €/l "
5989,"Barone Montalto Pinot Grigio, 300 cl","3,69 € 18,45 €/l "
5990,Barone Montalto Passivento Rosso 75 cl,"6,49 € 8,65 €/l "
5991,"Mineraalvesi sportkorgiga, VENDEN, 750 ml","7,99 € 10,65 €/l "
5992,Monte Cristo Red 75 cl,"5,79 €  11,58 €/kg "
5993,Moe mahe viin 70 cl,"4,49 € 5,99 €/l "
5994,"Vesi Perrier, PERRIER , 500 ml","6,99 € 9,32 €/l "
5995,"A.Le Coq Coctail Watermelon Margarita, 330 ml pudel","1,99 € 6,03 €/l "
5996,"Botanical Tonic Water, FENTIMANS, 200 ml","3,59 €  3,59 €/l "
5997,"Roheline jäätee meega, ARIZONA, 500 ml","5,89 €  0,37 €/tk "
5998,"Vaarikamaitseline mahlasiirup, AURA, 750 ml","5,99 € 7,99 €/l "
5999,"Kombucha kõrvik, CIVU, 400 ml","7,99 € 10,65 €/l "
6000,Hele õlu Karl Friedrich 500 ml pudel,"1,49 € 4,52 €/l "
6001,Beefeater London Dry Gin 70 cl,"0,89 € 1,60 €/l "
6002,Bonacchi Chianti Riserva 75 cl,"14,99 € 21,41 €/l "
6003,Maison Castel Rose d'Anjou 75 cl,"23,90 € 34,14 €/l "
6004,"Õlu Muddis Golden Ale, 330 ml pudel","19,99 € 6,66 €/l "
6005,"Cooler Sour Rhubarb, 275 ml","23,90 € 7,97 €/l "
6006,Casa Lunardi Pinot Grigio DOC Venezie 75 cl,"12,99 €  17,32 €/l "
6007,"Jõhvika-granaatõunajook, PÕLTSAMAA, 1 L","3,99 € 5,32 €/l "
6008,Bacardi Breezer Orange 275 ml,"4,99 € 6,65 €/l "
6009,Maschio Pinot Rosa Frizzante 75 cl,"1,79 € 6,39 €/l "
6010,"Õuna-valge viinamarja nektar, PÕLTSAMAA, 200 ml","12,99 € 18,56 €/l "
6011,"Energiajook Energy, COCA-COLA, 250 ml","0,99 € 1,98 €/l "
6012,"Viin, SAAREMAA, 20 cl","1,29 € 3,91 €/l "
6013,Canti Gavi 75 cl,"1,39 € 6,95 €/l "
6014,Saaremaa Dry Gin 70 cl,"1,49 € 2,98 €/l "
6015,"Karboniseeritud mineraalvesi Mündi, NEPTUNAS, 500 ml","1,59 €  2,12 €/l "
6016,"Põhjala Orange Gose, 330 ml","1,99 € 4,98 €/l "
6017,"Limonaad Multivitamiini, LIMONAAD, 330 ml","1,29 € 2,58 €/l "
6018,Gran Castillo Selection Shiraz 75 cl,"19,99 € 28,56 €/l "
6019,"Kopparbergs pirni, 500 ml purk","7,99 € 10,65 €/l "
6020,"Toonik Connoisseurs, FENTIMANS, 500 ml","10,99 € 14,65 €/l "
6021,Hele õlu Saku Kuld 330 ml pudel,"7,99 €  10,65 €/l "
6022,"Looduslike mineraalidega vesi mullidega, HÄÄDEMEESTE, 1 L","1,99 € 6,03 €/l "
6023,"Multivitamiininektar, PFANNER, 2 L","1,39 € 5,05 €/l "
6024,Giacondi Pinot Grigio Terre Siciliane 75 cl,"5,99 € 7,99 €/l "
6025,"Imperial Extra Double Stout, A. LE COQ, 400 ml","7,99 € 10,65 €/l "
6026,La Posada Tempranillo Organic 300cl,"1,19 €  1,19 €/l "
6027,"Karastusjook Kane`s Carmel Valley Chop, KANE'S, 330 ml","1,89 € 6,87 €/l "
6028,"Virsikunektar, CIDO, 1 L","0,59 €  2,95 €/l "
6029,Le Grand Noir GSM 75 cl,"1,59 € 5,68 €/l "
6030,Luigi Gighetti Valpolicella Ripasso CampoliettiI 75 cl,"4,49 € 22,45 €/l "
6031,"Apelsinimahl Brasilien 100%, PFANNER, 2 l","4,49 €  2,25 €/l "
6032,Ricossa Barbera Appassimento DOC 75 cl,"10,99 € 14,65 €/l "
6033,"Karksi Punane Papp, 500 ml","14,99 € 19,99 €/l "
6034,"Rabarberi ökolimonaad, FRITZ-SPRITZ, 330 ml","1,49 € 2,98 €/l "
6035,"Kombucha kummelitee, CIVU, 400 ml","1,99 €  62,19 €/kg "
6036,"Kirsi,õuna,aroonia mahlajook, AURA FRESH, 2 L","1,99 € 4,98 €/l "
6037,"Tanker Reloaded, , 440 ml","1,69 €  0,85 €/l "
6038,Castellani Chianti 75 cl,"2,99 € 6,80 €/l "
6039,Baron Rosen Vino Tinto 100 cl,"6,49 € 8,65 €/l "
6040,"Energiajook Energy Zero, COCA-COLA ZERO, 250 ml","4,29 € 4,29 €/l "
6041,"Vaniljemaitseline kohvijook, MONSTER ESPRESSO, 250 ml","5,49 € 5,49 €/l "
6042,"Kokteilijook Laimi, SINEBRYCHOFF, 330 ml","2,69 € 10,76 €/l "
6043,"Zero Punane greip sportkorgiga, ARCTIC SPORT, 750 ml","2,69 € 10,76 €/l "
6044,"Shot Ingver, RYNKEBY, 500 ml","5,89 €  0,37 €/tk "
6045,Casa Charlize Primitivo Puglia IGT 75 cl,"0,99 € 3,00 €/l "
6046,"Greip sportkorgiga, ARCTIC SPORT, 750 ml","1,09 € 1,45 €/l "
6047,"Alkoholivaba õlu Oettinger, GOLDBERGER, 500 ml","9,99 €  13,32 €/l "
6048,Piccini Chianti 75 cl,"1,09 € 1,45 €/l "
6049,"Sinebrychoff Grapefruit, 500 ml","6,29 €  13,98 €/kg "
6050,Villa Maria Private Bin Sauvignon Blanc 75 cl,"0,69 € 1,38 €/l "
6051,"Peojook Valge Klaar, VALGE KLAAR, 750 ml","7,99 €  10,65 €/l "
6052,"Päikesemarja mustsõstra siirup, PÄIKESEMARJA, 500 ml","1,49 € 2,98 €/l "
6053,Maschio MDC Valdobbiadene Prosecco Brut 75 cl,"13,99 €  18,65 €/l "
6054,"Õlu Tuborg, 500 ml","2,49 € 3,32 €/l "
6055,Barton & Guestier Pinot Noir Reserve 75 cl,"1,99 €  3,98 €/l "
6056,"Astelpajunektar, SEMU, 500 ml","1,49 € 2,98 €/l "
6057,"Le Grand Noir Cabernet-Syrah 18,7 cl","7,49 € 9,99 €/l "
6058,La Gioiosa Rose Vino Spumante Brut 75 cl,"9,99 € 13,32 €/l "
6059,"Saku Pilsner, SAKU, 500 ml","1,59 €  15,90 €/kg "
6060,"Sidruni-laimimaitseline jook gaseerimata, VICHY FRESH, 500 ml","2,79 €  5,58 €/l "
6061,"Kuivatatud ploomi mahl, RYNKEBY, 1 L","1,79 € 9,57 €/l "
6062,SilverLake Sauvignon Blanc 75 cl,"2,29 € 12,25 €/l "
6063,"Õlu Paulaner Original Münchner, 500 ml","8,49 € 11,32 €/l "
6064,"NULL Barbara, MULL°, 75 cl","0,59 € 1,18 €/l "
6065,"Espresso kohvijook piimaga, MONSTER ESPRESSO, 250 ml","11,99 €  15,99 €/l "
6066,"Disfruta Ananassi mahlajook, DON SIMON, 1,5 L","2,49 € 4,98 €/l "
6067,"Õlu Muddis Indian Pale Ale, 330 ml pudel","3,59 €  224,38 €/kg "
6068,Maschio Prosecco Spumante Extra Dry 20 cl,"6,49 € 8,65 €/l "
6069,"Mahlajook Õuna-Vaarika, DR. ACTIVE, 500 ml","15,49 €  15,49 €/kg "
6070,"Somersby Blackberry, 500 ml","2,69 € 10,76 €/l "
6071,Robertson Sauvignon Blanc 75 cl,"1,39 €  13,90 €/kg "
6072,Sinebrychoff Long Drink Jõhvikas 500 ml,"1,99 € 6,03 €/l "
6073,Henkell Trocken Dry Sec 75 cl,"3,29 €  16,45 €/l "
6074,"Pirnimaitseline mahlasiirup, AURA, 750 ml","0,89 € 1,78 €/l "
6075,Tullamore Dew Irish Whisky 70 cl,"6,49 € 8,65 €/l "
6076,Fantini Farnese Pinot Grigio 75 cl,"7,99 € 10,65 €/l "
6077,Beefeater Pink Gin 70 cl,"1,25 € 2,50 €/l "
6078,Ibis brändi X.O 50 cl pet,"1,59 € 3,18 €/l "
6079,Jägermeister 70 cl,"6,49 €  8,65 €/l "
6080,Jägermeister 50 cl,"1,59 €  2,12 €/l "
6081,Hele õlu Carlsberg 500 ml purk,"2,99 € 11,96 €/l "
6082,"Mahlajook jõhvika, AURA FRESH, 2 L","2,39 €  59,75 €/kg "
6083,"Proteiinijook šokolaadi-kreatiini, ARCTIC SPORT, 330 ml","24,90 €  35,57 €/l "
6084,"Vesi Still, VICHY, 1,5 L","7,99 € 10,65 €/l "
6085,Aramis VSOP 50 cl,"15,99 € 22,84 €/l "
6086,"Õlu Väike India, LEHE PRUULIKODA, 330 ml pudel","21,90 € 31,29 €/l "
6087,"Smirnoff Ice, 700 ml","13,99 €  27,98 €/l "
6088,Franz Hoffner Riesling Premium 75 cl,"1,59 € 3,18 €/l "
6089,Torres San Valentin Parellada 75 cl,"0,59 € 0,39 €/l "
6090,Le Grand Noir Chardonnay/Viogner 2010 75 cl,"7,99 € 15,98 €/l "
6091,"Õlu Hoegaarden White, HOEGAARDEN, 330 ml pudel","3,99 € 5,70 €/l "
6092,"Pühaste Mosaiik, 330 ml","4,69 € 6,70 €/l "
6093,"Muu alk. jook Red Orange, G:N, 1,5 L","2,49 €  49,80 €/kg "
6094,"Cooler Dark Cherry, 275 ml","1,79 €  35,80 €/kg "
6095,Mulin Spritz 75 cl,"5,99 €  7,99 €/l "
6096,Hele õlu Estrella Damm 500 ml purk,"9,99 € 13,32 €/l "
6097,Karu Chardonnay 75 cl,"2,99 € 11,96 €/l "
6098,"Viin, SAAREMAA, 100 cl","1,99 €  19,90 €/kg "
6099,Robertson Chardonnay 75 cl,"6,99 € 9,32 €/l "
6100,"Tomatimehu, MAHLAKAS, 480 ml","6,99 € 9,32 €/l "
6101,Jameson Irish Whiskey 50 cl,"8,99 € 11,99 €/l "
6102,"Purtse Metsik Ida IPA, 330 ml","2,59 € 7,85 €/l "
6103,"Õlu Warsteiner Premium, 500 ml","1,59 € 3,18 €/l "
6104,"Rose maasika ja rabarberiga, MULL°, 75 cl","6,49 € 8,65 €/l "
6105,Siider Henry Westons pirni 500 ml pudel,"3,99 € 7,98 €/l "
6106,Liköör Vana Tallinn 20 cl,"4,99 €  24,95 €/l "
6107,Bach Extrisimo Brut 75 cl,"6,49 € 8,65 €/l "
6108,"SFF Lime, SINEBRYCHOFF, 500 ml","8,99 € 11,99 €/l "
6109,Giacondi Prosecco Extra Dry 75 cl,"2,79 € 3,72 €/l "
6110,"Starõi Melnik Iz Botshonka Mjagkoje, , 450 ml","7,49 € 9,99 €/l "
6111,"Metsamarjamaitseline kontsentraat(suhkruvaba), MIKAADO, 500 ml","10,99 € 14,65 €/l "
6112,"Crumpton Oaks Apple, 500 ml","1,49 € 3,31 €/l "
6113,"Viinamarja-Aloe Vera Mahlajook, 250 ml, TYMBARK","1,09 €  2,18 €/l "
6114,Hennessy V.S. karbis 70 cl,"1,79 € 3,58 €/l "
6115,Moselland Riesling Kabinett 75 cl,"0,79 € 3,16 €/l "
6116,"Pipra Naps, LIVIKO, 35 cl","29,90 € 42,71 €/l "
6117,"Viin, VIRU VALGE 50 cl","39,90 € 57,00 €/l "
6118,"Mahlajook õuna-pirni, CAPPY, 1,5 L","6,49 € 8,65 €/l "
6119,Törley Charmant 75 cl,"7,99 € 10,65 €/l "
6120,"Aloe Vera jook, OKF, 1,5 L","6,99 € 19,97 €/l "
6121,"Õlu Erdinger Weissbier, 500 ml","8,99 €  17,98 €/l "
6122,Caribba Negro 1 L,"5,49 €  7,32 €/l "
6123,Old Tbilisi Alazani 75 cl,"5,99 €  0,37 €/tk "
6124,Baileys Irish Cream 50 cl,"3,29 € 2,19 €/l "
6125,Segura Viudas Cava Brut Reserva 75 cl,"2,49 € 4,98 €/l "
6126,"Ananassimahl 100%, DIMES, 1 l","2,19 €  54,75 €/kg "
6127,Aramis VS 50 cl,"18,99 € 18,99 €/l "
6128,Lindemans Rel.Shiraz Cab.Sauv. 75 cl,"6,99 €  9,32 €/l "
6129,Gran Castillo Shiraz 75 cl,"11,99 €  15,99 €/l "
6130,Contarini Prosecco Treviso 75 cl,"2,49 €  2,49 €/l "
6131,Torres San Valentin Parellada BIB 3 L,"2,99 €  29,90 €/kg "
6132,Zonin Primitivo Puglia IGT 75 cl,"8,99 € 17,98 €/l "
6133,Viin Zeljonaja Traditsonnaja 50 cl,"6,49 € 8,65 €/l "
6134,"Siirup jõhvikamaitseline, HELIIS, 1,5 L","7,99 € 10,65 €/l "
6135,Gran Castillo Viura Chardonnay 75 cl,"3,99 €  14,25 €/kg "
6136,Chic Barcelona Brut Cava 75 cl,"7,49 € 9,99 €/l "
6137,"Jook Aloe Vera, OKF, 500 ml","8,99 € 11,99 €/l "
6138,"I heart Pinot Grigio 18,7 cl","29,90 € 9,97 €/l "
6139,Old Gruzia Alaverdi Red 75 cl,"3,99 €  15,96 €/kg "
6140,Plantation Original Dark Rum 70 cl,"8,99 € 11,99 €/l "
6141,"Earl Grey tee sidruniga, OSHEE, 555 ml","10,99 € 14,65 €/l "
6142,Allram Villa Strass Grüner Veltliner 75 cl,"7,99 € 15,98 €/l "
6143,Whistling Track Sauvignon Blanc 75 cl,"10,99 € 21,98 €/l "
6144,Villa Sandi Valdobbiadene Prosecco Superiore 75 cl,"2,69 €  1,79 €/l "
6145,Johan Freitag Vodka 50 cl,"5,99 € 7,99 €/l "
6146,Barton & Guestier Cabernet Sauv. 75 cl,"7,99 € 10,65 €/l "
6147,"Aloe Vera jook mango maitseline, ALEO, 1,5 L","2,99 € 11,96 €/l "
6148,"Mahlajook multivitamiini, CAPPY, 1,5 L","9,99 € 13,32 €/l "
6149,Franz Hoffner Riesling 300cl,"2,19 €  73,00 €/kg "
6150,"Ananassimahl 100%, SANTAL, 1 L","2,09 €  11,18 €/l "
6151,Hele õlu Bud Genuine 330 ml pudel,"0,99 € 4,95 €/l "
6152,Barton & Guestier Sauvignon Blanc Reserve 75 cl,"7,99 € 10,65 €/l "
6153,Captain Morgan Spiced Gold 50 cl,"21,90 €  31,29 €/l "
6154,Absolut Vodka 70 cl,"0,89 € 1,60 €/l "
6155,"Viin jõhvikamaitseline, NIPERNAADI, 20 cl","6,99 € 13,98 €/l "
6156,Bacardi Breezer Watermelon 275 ml,"7,99 € 15,98 €/l "
6157,Aramis VSOP 20 cl,"6,99 € 9,32 €/l "
6158,"Le Grand Noir Sauvignon Blanc 18,7 cl","8,99 € 11,99 €/l "
6159,"Spordijook rohelise tee, FAT BURNER, 500 ml","2,69 € 10,76 €/l "
6160,Tommasi Graticcio Appassionato 75 cl,"2,29 € 1,53 €/l "
6161,Hele õlu Saku Originaal 330 ml purk,"1,49 € 0,99 €/l "
6162,"Disfruta Apelsini mahlajook, DON SIMON, 1,5 L","21,90 € 7,30 €/l "
6163,Brändi Imperial XII VSOP 50 cl,"1,99 €  1,99 €/l "
6164,Bacardi Breezer Lime 275 ml,"1,29 € 3,91 €/l "
6165,El Coto Crianza 75 cl,"8,99 € 11,99 €/l "
6166,"Vesi Still, VICHY, 500 ml","15,99 € 31,98 €/l "
6167,"Mango-Apelsini Mahlajook, 250 ml, TYMBARK","13,99 € 19,99 €/l "
6168,"Tanker Sauna Session, , 440 ml","19,99 € 28,56 €/l "
6169,"Cooler Blackcurrant, , 275 ml","1,79 €  44,75 €/kg "
6170,Monte Cristo Rose 75 cl,"3,99 € 5,32 €/l "
6171,Laroche Chablis 75 cl,"1,79 €  49,72 €/kg "
6172,Chapel-Hill Rhine Riesling 75 cl,"15,99 € 21,32 €/l "
6173,"Granini Õunamahl, GRANINI, 1 l","22,90 € 30,53 €/l "
6174,Hartwall Original LD Lemon 330 ml,"4,49 € 5,99 €/l "
6175,"Premium tomatimahl, DON SIMON, 200 ml","2,49 € 2,49 €/l "
6176,"Metsvaarikamaitseline siirup, HELIIS, 500 ml","4,99 € 6,65 €/l "
6177,"Õlu Double Bock, 1 L","3,49 €  7,76 €/kg "
6178,"Laua viin, LIVIKO, 70 cl","1,29 € 3,91 €/l "
6179,"VITAMIN SPORT, VICHY, 1,5 l","1,29 €  2,58 €/l "
6180,"Alkoholivaba siider Pear, SOMERSBY, 500 ml","1,89 €  58,15 €/kg "
6181,Dreamer Late Harvest Chardonnay 75 cl,"7,99 €  31,96 €/kg "
6182,Törley Fortuna 75 cl,"1,79 €  55,94 €/kg "
6183,"Draakon Maasika-õuna vahujook, PÕLTSAMAA, 750 ml","3,99 €  0,22 €/tk "
6184,La Mura Organic Pinot Grigio 75 cl,"0,99 € 1,98 €/l "
6185,"Õlu Saku Taurus, 500 ml","4,99 € 6,65 €/l "
6186,Torres Gran Coronas Cabernet 75 cl,"6,99 € 9,32 €/l "
6187,"Tume õlu Newcastle Brown Ale, 330 ml pudel","4,49 € 5,99 €/l "
6188,"Maitsevesi Near Water Aura Fruit Maasikas-Basiilik, AURA FRUIT, 500 ml","5,39 € 7,19 €/l "
6189,"Kronenbourg 1664 Blanc, 330 ml","2,89 € 3,85 €/l "
6190,"Põhjala Meri, Gose, PÕHJALA, 330 ml","6,49 € 8,65 €/l "
6191,"Jõhvikamahlajook, LARGO, 1 L","7,99 € 10,65 €/l "
6192,"Maltoosa, 1,200 kg","1,29 € 2,58 €/l "
6193,Chapel Hill Pinot Grigio 75 cl,"10,99 € 14,65 €/l "
6194,Robertson Shiraz 75 cl,"14,99 € 19,99 €/l "
6195,"Köögiviljamahl, PÕLTSAMAA, 1 l","2,09 € 6,33 €/l "
6196,"Juissi apelsini-mango mahlajook, MARLI, 1 L","0,59 € 1,18 €/l "
6197,Bollino Bianco Sweet 75 cl,"1,19 € 3,61 €/l "
6198,Zonin Ventiterre Valpolicella 75 cl,"2,29 € 6,94 €/l "
6199,"Värska Originaal 6-pakk, gaseeritud, VÄRSKA, 6 x 1,5 L","0,99 €  0,99 €/l "
6200,"Chill Out Chenin Blanc 1,5 L","4,99 €  4,16 €/kg "
6201,"Kirsimaitseline siirup, HELIIS, 500 ml","5,59 €  7,45 €/l "
6202,Cesari Chianti DOCG 75 cl,"1,29 €  1,29 €/l "
6203,Freixenet Cordon Negro Brut 75 cl,"1,29 €  1,29 €/l "
6204,"VITAMIN SPORT, VICHY, 750 ml","4,99 €  6,65 €/l "
6205,Freixenet Prosesecco 75 cl,"6,99 € 0,78 €/l "
6206,"Draakoni vaarika-mustikajook kõrrega, PÕLTSAMAA, 200 ml","10,99 € 7,33 €/l "
