,Toode,Hind
147,"Kookose-ananassi smuuti, PAI, 280 ml","1,79 € 6,39 €/l "
148,"Puuviljasalat, 300 g","1,29 €  11,73 €/kg "
149,"Juurseller, kg","2,99 €  13,00 €/l "
150,"Šampinjon viilutatud, 200 g","1,79 € 6,39 €/l "
151,"Porgandi-õunamahl, KADARBIKU KÖÖGIVILI, 500 ml","0,39 € 0,78 €/l "
152,"Maasikas karbis, 400g","0,99 €  0,99 €/kg "
153,"Dattel, 200 g","1,49 €  7,45 €/kg "
154,"Õuna-peedimahl, KADARBIKU KÖÖGIVILI, 330 ml","4,39 €  43,90 €/kg "
155,"Kiivi kollane karbis, 500 g","5,49 €  13,73 €/kg "
156,"Porgandimahl, KADARBIKU KÖÖGIVILI, 330 ml","0,99 € 1,98 €/l "
157,"Porgandi-peedimahl, KADARBIKU KÖÖGIVILI, 330 ml","13,99 €  13,99 €/kg "
158,"Öko pirni-kiivismuuti spirulinaga, SALVEST, 170 g","1,39 € 2,78 €/l "
159,"Koorene piprakaste, FOODSTUDIO, 230 ml","2,99 € 5,98 €/kg "
160,"Mahe Idutrio, LÕUNAIDU, 150 g","1,99 € 6,03 €/l "
161,"Smushie Mango-apelsinismuuti datlitega, SALVEST, 170 g","1,79 € 3,38 €/l "
162,"Õuna-mango puuviljamiks, POM´BEL, 4x100g","2,29 €  13,47 €/kg "
163,"Hapukapsas porgandiga ämbris, 900 g","2,99 €  13,00 €/l "
164,"Mahe Mungoa-Redise idusalat, RÜÜTS, 125 g","1,99 €  13,27 €/kg "
165,"Peedimahl, KADARBIKU KÖÖGIVILI, 330 ml","0,89 € 2,70 €/l "
166,"Ökoloogiline Aprikoosi-ananassismuuti linaseemnetega, SMUSHIE, 170 g","2,19 €  31,29 €/kg "
167,"Banaani-kookose-ananassi smuuti, FROOSH, 750 ml","12,99 € 17,32 €/l "
168,"Krõmps Lollo Rosso potis, ORU FARM, tk","1,99 €  14,21 €/kg "
169,"Mahe Idusalat (Lutserni, Mungoa- ja Läätse idud), RÜÜTS, 125 g","1,79 € 5,42 €/l "
170,"Tüümian potis, ORU, tk","2,29 €  13,47 €/kg "
171,"Mahe Pirn Conference, 500 g","4,99 € 6,65 €/l "
172,"Õuna-banaani-maasika puuviljamiks, POM´BEL, 4x100g","1,99 €  1,99 €/tk "
173,"Mahe Lutserni idud, RÜÜTS, 100 g","1,99 €  14,21 €/kg "
174,"Avokaado, 2 tk","1,99 €  1,99 €/tk "
175,"Punase apelsini mahl, RYNKEBY, 1 l","5,49 €  27,45 €/kg "
176,"Proteiinismuuti maasika-vaarika jook valgulisandiga, PAI+, 280 ml","4,49 € 13,61 €/l "
177,"Põldmari, 125 g","1,99 €  1,99 €/tk "
178,"Apelsinimahl, PÕLTSAMAA VÄRSKE, 280 ml","17,99 € 25,70 €/l "
179,"Õunamahl, PÕLTSAMAA VÄRSKE, 280 ml","5,99 € 7,99 €/l "
180,"Rooma salat potis, JÄRVIKYLA, tk","1,79 € 6,39 €/l "
181,"Smushie Ökoloogiline Peedi-vaarikapüree kanepiseemnetega, SALVEST, 170 g","2,19 € 6,64 €/l "
182,"Sidrunhein pakis, 50 g","1,59 € 5,68 €/l "
183,"Apelsini-mango smuuti, FROOSH, 750 ml","7,99 € 10,65 €/l "
184,"Ühepajatoit, 750 g","1,99 €  1,99 €/tk "
185,"Mango-apelsini smuuti, FROOSH, 250 ml","4,99 € 6,65 €/l "
186,"Muskaatkõrvits, kg","1,29 €  1,29 €/tk "
187,"Troopiline segumahl mango ja passioniviljaga, RYNKEBY, 1 l","10,99 € 14,65 €/l "
188,"Õuna, sidruni, piparmündi värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 250 ml","1,69 € 3,38 €/l "
189,"Smuuti apelsini-porgandi-ingveri, PAI+, 280 g","7,49 € 9,99 €/l "
190,"Petersell pakitud, kg","0,99 €  0,99 €/kg "
191,"Küüslaugu idandid, LÕUNAIDU, 70 g","3,59 €  3,59 €/l "
192,"Avokaado värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 250 ml","1,69 €  0,85 €/l "
193,"Brokoliidud (brokoli, lutserni ja punase ristiku idud), IDUFIRMA, 110 g","2,69 €  24,45 €/kg "
194,"Pastinaak, kg","1,29 €  1,29 €/kg "
195,"Pirnõun ehk Nashi pirn, kg","3,99 €  3,99 €/kg "
196,"Porgandi-õunamahl, MANA, 750 ml","1,59 € 3,18 €/l "
197,"Kiivi karbis, 400 g","2,79 €  6,98 €/kg "
198,"Viilutatud sibul marinaadis, DIMDINI, 400 g","1,99 €  4,98 €/kg "
199,"Punane sõstar, 125 g","2,49 €  19,92 €/kg "
200,"Wokiribad vaakumis, 400 g","2,49 €  6,23 €/kg "
201,"Mango, banaani, õuna värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 250 ml","7,99 € 10,65 €/l "
202,"Shiitake karbis, 150 g","4,99 €  33,27 €/kg "
203,"Ananassi-banaani-kookose smuuti, FROOSH, 250 ml","1,39 €  13,90 €/kg "
204,"Õuna-Aprikoosi puuviljamiks, POM`BEL, 4x100g","2,49 €  6,23 €/kg "
205,"Rosmariin, JÄRVIKYLA, tk","4,99 €  4,99 €/tk "
206,"Paksoi pakitud, kg","7,99 €  7,99 €/kg "
207,"Virsiku ja granadilli smuuti, FROOSH, 750 ml","2,69 € 10,76 €/l "
208,"Astelpaju toormahl 0,5 l","7,79 €  38,95 €/kg "
209,"Oregano potis, ORU FARM, tk","1,99 €  1,99 €/tk "
210,"Lutserniidud (lutserni ja punase ristiku idud), IDUFIRMA, 110 g","2,69 €  24,45 €/kg "
211,"Austerservik, 300 g","2,49 €  8,30 €/kg "
212,"Marineeritud männiriisikad, 450 g","3,99 €  8,87 €/kg "
213,"Hapukapsas köömnetega, SAAREMAA, 900 g","1,99 €  2,21 €/kg "
214,"Marineeritud kuuseriisikad, 450 g","3,99 €  8,87 €/kg "
215,"Pai ahjuõuna smuuti, PAI, 280 ml","6,49 € 8,65 €/l "
216,"Mustika mahl, TAARAPÕLLU TALU, 500 ml","7,99 € 10,65 €/l "
217,"Ingver, 200 g","1,99 €  9,95 €/kg "
218,"Kartulisektor Viibergi, 500 g","1,49 €  2,98 €/kg "
219,"Fenkol (apteegitill), kg","4,99 €  4,99 €/kg "
220,"Mustika-vaarika smuuti, FROOSH, 750 ml","6,99 € 9,32 €/l "
221,"Maasika,pirni,õuna värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 250 ml","1,99 €  44,22 €/kg "
222,"Õunamahl, TAARAPÕLLU TALU, 500 ml","5,99 € 7,99 €/l "
223,"Õuna-mangomahl, PÕLTSAMAA VÄRSKE, 280 ml","8,29 €  11,05 €/l "
224,"Apelsinimahl, MANA, 250 ml","2,99 € 9,06 €/l "
225,"Mahe Läätse idusalat (Beluga-ja Rohelise läätse idud), RÜÜTS, 125 g","1,99 €  14,21 €/kg "
